customer_id,segment,recency,frequency,monetary,churn_probability,churn_risk_level,predicted_clv
763c8b1c9c68a0229c42c9fc6f662b93,Loyal Customers,46,1,7274.88,0.9737809507838552,Critical Risk (70-100%),7965993.600000001
459bef486812aa25204be022145caa62,Potential Loyalists,35,1,6922.21,0.9667877817657727,Critical Risk (70-100%),7579819.949999999
48e1ac109decbb87765a3eade6854098,Potential Loyalists,69,1,4681.78,0.9175257721800807,Critical Risk (70-100%),5126549.1
edde2314c6c30e864a128ac95d6b2112,Champions,26,1,4513.32,0.8767835133924222,Critical Risk (70-100%),4942085.399999999
a229eba70ec1c2abef51f04987deb7a5,Champions,90,1,4445.5,0.9195397436260745,Critical Risk (70-100%),4867822.5
fa562ef24d41361e476e748681810e1e,Champions,154,1,4175.26,0.9127893023807628,Critical Risk (70-100%),4571909.7
ca27f3dac28fb1063faddd424c9d95fa,Champions,32,1,4163.51,0.8924881086429316,Critical Risk (70-100%),4559043.45
58483a1c055dfb600f57c5b867174542,Potential Loyalists,86,1,4034.44,0.8958210729364904,Critical Risk (70-100%),4417711.800000001
f0767ae738c3d90e7b737d7b8b8bb4d1,Champions,107,1,3979.55,0.8922591832346323,Critical Risk (70-100%),4357607.25
3fec1a05177762f279472253113d568a,Potential Loyalists,161,1,3792.59,0.8881931378673666,Critical Risk (70-100%),4152886.05
2c3b08cf3584d8c0a81d9618a73aa219,New Customers,143,1,3526.46,0.8645564824192222,Critical Risk (70-100%),3861473.7
95a744604de66a2e40e18086e69be4f2,Loyal Customers,55,1,3406.4700000000003,0.8573122255979461,Critical Risk (70-100%),3730084.65
ce3fe361f9e68bf0a813baaae1334d01,Champions,14,1,3351.35,0.7878428905766498,Critical Risk (70-100%),3669728.25
9b11e010850a4045d2da80c7783fdbd1,Loyal Customers,84,1,3256.14,0.8594911889577028,Critical Risk (70-100%),3565473.3
adfa1cab2b2c8706db21bb13c0a1beb1,Champions,89,1,3242.84,0.8650353029345076,Critical Risk (70-100%),3550909.8
bbeb907759ef5fc169099af3c88d535d,Champions,125,1,3209.72,0.8534494840737846,Critical Risk (70-100%),3514643.3999999994
1b76903617af13189607a36b0469f6f3,New Customers,100,1,3195.74,0.8272995586688413,Critical Risk (70-100%),3499335.3
46450c74a0d8c5ca9395da1daac6c120,Potential Loyalists,36,1,3184.34,0.8301171285467335,Critical Risk (70-100%),3486852.3
be825ddd3b40db3f91bf05b4e9435d56,Champions,79,1,3122.72,0.8544361556773549,Critical Risk (70-100%),3419378.3999999994
f886a3f43af9ac928fbb4b56436c528c,Champions,15,1,3076.13,0.7727840282013052,Critical Risk (70-100%),3368362.35
ef8d54b3797ea4db1d63f0ced6a906e9,Champions,133,1,3018.6,0.849700105203052,Critical Risk (70-100%),3305367.0
4683ad127301c1bcbd601a30bb22d2ba,Potential Loyalists,124,1,3005.06,0.829958245862678,Critical Risk (70-100%),3290540.7
129bfc164612d70a040a844b887dfec5,New Customers,165,1,2960.05,0.8386481261004001,Critical Risk (70-100%),3241254.75
fff5eb4918b2bf4b2da476788d42051c,Champions,58,1,2844.96,0.8333718219394677,Critical Risk (70-100%),3115231.2
c38b132f1c68c14c0d3b32e66b796eba,Champions,146,1,2838.2200000000003,0.8384721183383974,Critical Risk (70-100%),3107850.9000000004
8ad6fdb3d658f916f444aaf55a49bb29,Loyal Customers,93,1,2828.42,0.8092929796914509,Critical Risk (70-100%),3097119.9000000004
25bedfc6317ec4a379ef49b9c1049733,New Customers,124,1,2818.74,0.8112812373918395,Critical Risk (70-100%),3086520.3
34ff67eb3466a779b2f6b6fd56a3b953,Potential Loyalists,90,1,2787.87,0.8274210035559437,Critical Risk (70-100%),3052717.65
acc38a550c42d17125cd25c32a464d26,Champions,112,1,2759.95,0.818733698746776,Critical Risk (70-100%),3022145.2499999995
5e92460d739e8dd987e279285a1d278c,Potential Loyalists,17,1,2713.36,0.7206945283560976,Critical Risk (70-100%),2971129.2
f140f377d666848e3712b51a2734d120,Champions,31,1,2713.36,0.81106092696103,Critical Risk (70-100%),2971129.2
212b7cfb2631b23e85a4645a7cba1733,New Customers,101,1,2647.76,0.7870923616555895,Critical Risk (70-100%),2899297.2
f44ffa618df5f8a65899275c93b14ae2,Champions,110,1,2638.64,0.8148135450282856,Critical Risk (70-100%),2889310.8
684da9ec00ee25877fe21ce197403d04,Potential Loyalists,113,1,2616.0,0.7967726761026718,Critical Risk (70-100%),2864520.0
26b5839e505ee33e6a449f7c2c403f99,New Customers,90,1,2607.09,0.8089395394921567,Critical Risk (70-100%),2854763.5500000003
7386ded430d6aeb715a0d087c38a2dfe,Loyal Customers,167,1,2590.61,0.8253622341276259,Critical Risk (70-100%),2836717.95
0621cda5f3ee9a2e6f3ae6ebb5fcdbe1,New Customers,103,1,2564.65,0.7813855864736781,Critical Risk (70-100%),2808291.75
02ccceb879088a0253e1e46e0200bdb8,New Customers,21,1,2512.53,0.6969968345867222,High Risk (50-70%),2751220.35
bef3ce10ea5715fbcbcbe3b266ee94c5,Champions,97,1,2467.17,0.7896065511291641,Critical Risk (70-100%),2701551.1500000004
0bec90ebca9ff4b2b830950bb052e52d,New Customers,127,1,2457.44,0.784907404729036,Critical Risk (70-100%),2690896.8
8e07cbdbbb24328ece74135e2a81405b,Loyal Customers,20,1,2455.12,0.7061505970691051,Critical Risk (70-100%),2688356.4
85475e754525d6d222d917dbc8251801,Loyal Customers,32,1,2438.51,0.7778838587094231,Critical Risk (70-100%),2670168.45
87070b00f89fa49dd0b01ff4bf075b8c,Loyal Customers,134,1,2389.78,0.7955547561316696,Critical Risk (70-100%),2616809.1
6963ee67570e4454bf00b3e5fe52f734,Loyal Customers,10,1,2337.4,0.6813278099483038,High Risk (50-70%),2559453.0
c01158adcf91ee8f143d12388abe5f22,Champions,81,1,2333.97,0.801965556942718,Critical Risk (70-100%),2555697.15
e6fad5b1c79a4760aac5068d09c46535,Champions,4,1,2328.4,0.6759495444243321,High Risk (50-70%),2549598.0
6a71207bf8784292ad3f6e107ab57755,Loyal Customers,71,1,2325.22,0.7901628814888152,Critical Risk (70-100%),2546115.9
c7794313e2cd53472b116a751350f132,Champions,13,1,2323.25,0.6929166271003261,High Risk (50-70%),2543958.75
8a8ac60fd8ea25925f379a33ef277987,Loyal Customers,15,1,2322.32,0.687360658265728,High Risk (50-70%),2542940.4000000004
bd90c3e19e58ff2439e72b0554026418,Champions,114,1,2314.82,0.7859794911305308,Critical Risk (70-100%),2534727.9000000004
00c07da5ba0e07b4f248a3a373b07476,New Customers,34,1,2304.68,0.754138128571275,Critical Risk (70-100%),2523624.6
fa094305fdb6062436c99adba7d53dde,Champions,44,1,2267.28,0.7838632238893666,Critical Risk (70-100%),2482671.6
7dd0031f1da839843abbcda4e9fb317b,Loyal Customers,49,1,2267.18,0.7736291621718758,Critical Risk (70-100%),2482562.1
a58b1fe8146940d706e5f07d73bc7d51,Champions,129,1,2264.9,0.7894984643738056,Critical Risk (70-100%),2480065.5
e79c794eb044c594d923722240125052,Champions,34,1,2252.66,0.7768318005380785,Critical Risk (70-100%),2466662.7
bd879722dc92d795d57264b3c1e09f6a,Champions,146,1,2241.64,0.7960061037802665,Critical Risk (70-100%),2454595.8
10e1df2717597281c5cffa0e0a7ca7cb,New Customers,15,1,2225.69,0.660583413556188,High Risk (50-70%),2437130.55
1a3a962a15f8c6ee0178e1102387d3cc,New Customers,79,1,2223.12,0.7731091447120961,Critical Risk (70-100%),2434316.4
9d15276f07200ca33bdd7eab12ba67ad,Loyal Customers,121,1,2220.32,0.7753543940739106,Critical Risk (70-100%),2431250.4000000004
14f5335a43420b92aa77e1f35ada3f42,New Customers,116,1,2213.22,0.7585459507943316,Critical Risk (70-100%),2423475.9
1579133af5d1fadd0e5e37ec439ed1ec,New Customers,118,1,2207.98,0.7591846923265146,Critical Risk (70-100%),2417738.1
9db254a87951220e74c58549749cf128,Loyal Customers,6,1,2187.42,0.6545343469657938,High Risk (50-70%),2395224.9000000004
25d558c329b841732700cb45b86260cf,New Customers,65,1,2187.42,0.7623687084433861,Critical Risk (70-100%),2395224.9000000004
3cdadaf84a996b3f07ccfcf9796f1dfd,Potential Loyalists,89,1,2183.6,0.7816586293537575,Critical Risk (70-100%),2391042.0
02e8a66528e84b3ca6150d9b1e03a26f,New Customers,67,1,2158.57,0.7609915256957629,Critical Risk (70-100%),2363634.1500000004
e0a7e61d37dd4060ab419bdb93a9f05d,Champions,25,1,2155.35,0.6964313976309081,High Risk (50-70%),2360108.25
b26746dace6d5d8633283ef402271974,Champions,148,1,2153.35,0.7900523597569954,Critical Risk (70-100%),2357918.25
ea6f9323b5f8d196980fa72fb91546d0,Champions,148,1,2153.35,0.7962606959210495,Critical Risk (70-100%),2357918.25
445e36c0849ad359c7b6d99786c3357c,Potential Loyalists,117,1,2153.35,0.7607739786532053,Critical Risk (70-100%),2357918.25
12ebfdb41392890f9d7a8de957274741,New Customers,102,1,2153.35,0.7453551507149921,Critical Risk (70-100%),2357918.25
3baa1dfebd3d28ccc8cdbf5d9faa7602,Potential Loyalists,78,1,2151.29,0.7731831972781635,Critical Risk (70-100%),2355662.55
8a8a3b96590da699865fa7e07e0e08ff,Loyal Customers,98,1,2133.69,0.75550747067798,Critical Risk (70-100%),2336390.55
afc8f3a11a809a74e5eef0bda1de6b9c,Champions,118,1,2124.78,0.7724060560313915,Critical Risk (70-100%),2326634.1
e8258022c5060b1f3d861556a17fd741,Champions,22,1,2115.79,0.6897589351242023,High Risk (50-70%),2316790.05
87566fe4966777f59b86e1313f177587,Loyal Customers,109,1,2115.05,0.7599546938322048,Critical Risk (70-100%),2315979.7500000005
c705e3b98b76bd8e56d09625ac94216a,Champions,127,1,2114.63,0.776266391553111,Critical Risk (70-100%),2315519.85
82cd8a647fc34614fde430b3285b913e,Loyal Customers,141,1,2110.57,0.7766179570018039,Critical Risk (70-100%),2311074.1500000004
2f99070486aafcc5dac7a979c1ed5f32,New Customers,124,1,2105.57,0.7534683816129432,Critical Risk (70-100%),2305599.1500000004
7de6d654e4d5b71483c3799468bc27e6,Loyal Customers,14,1,2098.4,0.6625663712631266,High Risk (50-70%),2297748.0
92ce8d58d57d7a8f8b2d5ca4b9810b64,Loyal Customers,145,1,2094.44,0.7773475781744853,Critical Risk (70-100%),2293411.8
963fee8d1953b0f2bc792a06043fb11c,Loyal Customers,57,1,2082.36,0.7624327287233726,Critical Risk (70-100%),2280184.2
83486a65903aefe02ed3bac7c23b5f65,Loyal Customers,93,1,2075.48,0.7474838994344547,Critical Risk (70-100%),2272650.6
f28efe52152019a633891bfdb679886e,Champions,71,1,2065.77,0.782020974028913,Critical Risk (70-100%),2262018.1500000004
6cba2fea42066c8781a30cd92826317c,Loyal Customers,127,1,2060.51,0.7650027947671811,Critical Risk (70-100%),2256258.45
8831da2a67b7007cd92faef855f9fb52,Loyal Customers,105,1,2055.84,0.7525152262308891,Critical Risk (70-100%),2251144.8000000003
e197b5ef3ad3220f87041f2475b37c81,Champions,142,1,2048.12,0.7849689666970876,Critical Risk (70-100%),2242691.4
